method_name,seed,num_GPUs,K,n_obs,n_dim,setup_time,initialization_time,computation_time,n_iter
distributedKMeans,123128,3,6,25000000,5,1.9012460708618164,0.9735503196716309,6.79959774017334,20
distributedFuzzyCMeans,123128,3,6,25000000,5,1.7610890865325928,1.324197769165039,6.853095769882202,20
distributedKMeans,123128,4,6,25000000,5,2.450976610183716,0.7795577049255371,5.735058546066284,20
distributedFuzzyCMeans,123128,4,6,25000000,5,1.0760703086853027,0.9210205078125,5.023141384124756,20
distributedKMeans,123128,5,6,25000000,5,3.066098690032959,1.2632648944854736,5.076409101486206,20
distributedFuzzyCMeans,123128,5,6,25000000,5,1.3098907470703125,1.055143117904663,4.266154050827026,20
distributedKMeans,123128,6,6,25000000,5,1.883946180343628,0.6668686866760254,4.105825185775757,20
distributedFuzzyCMeans,123128,6,6,25000000,5,1.5292460918426514,1.1713085174560547,3.7741646766662598,20
distributedKMeans,123128,7,6,25000000,5,2.142509937286377,0.5921986103057861,3.820551872253418,20
distributedFuzzyCMeans,123128,7,6,25000000,5,0.871896505355835,0.5857882499694824,3.0415871143341064,20
distributedKMeans,123128,8,6,25000000,5,2.3866007328033447,0.8040430545806885,3.646644115447998,20
distributedFuzzyCMeans,123128,8,6,25000000,5,0.9804661273956299,0.6468939781188965,2.7708115577697754,20
distributedKMeans,123128,1,3,25000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,1,3,25000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,2,3,25000000,5,0.973299503326416,0.8341963291168213,7.096123933792114,20
distributedFuzzyCMeans,123128,2,3,25000000,5,0.6593508720397949,0.9014253616333008,5.3674726486206055,20
distributedKMeans,123128,3,3,25000000,5,1.3901305198669434,1.148076057434082,5.842463970184326,20
distributedFuzzyCMeans,123128,3,3,25000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,4,3,25000000,5,0.864835262298584,0.4561021327972412,4.198906898498535,20
distributedFuzzyCMeans,123128,4,3,25000000,5,0.5363750457763672,1.0981125831604004,2.8024847507476807,20
distributedKMeans,123128,5,3,25000000,5,1.1052682399749756,0.6086034774780273,3.8954918384552,20
distributedFuzzyCMeans,123128,5,3,25000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,6,3,25000000,5,1.3193449974060059,0.7357871532440186,3.558964729309082,20
distributedFuzzyCMeans,123128,6,3,25000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,7,3,25000000,5,0.7561190128326416,1.0578398704528809,3.181185007095337,20
distributedFuzzyCMeans,123128,7,3,25000000,5,0.42254161834716797,0.623772144317627,1.715291976928711,20
distributedKMeans,123128,8,3,25000000,5,0.8529908657073975,0.3964869976043701,2.81384015083313,20
distributedFuzzyCMeans,123128,8,3,25000000,5,0.4742124080657959,0.3744189739227295,1.5345096588134766,20
